Table: Links
Local IP	Remote IP	VTime	LQ	NLQ	Cost
10.254.0.1	10.14.0.1	36.660	0.191	1.000	5.203	
10.254.0.1	10.254.134.66	55.636	1.000	0.796	1.256	
10.254.0.1	10.254.128.1	91.812	1.000	1.000	1.000	
10.254.0.1	10.254.129.97	56.045	1.000	0.761	1.313	
10.254.0.1	10.254.128.98	55.696	1.000	0.765	1.308	
10.254.0.1	10.254.134.99	56.998	1.000	0.761	1.313	
10.254.0.1	10.254.133.66	57.043	1.000	0.796	1.256	
10.254.0.1	10.254.129.129	57.099	1.000	0.765	1.308	
10.254.0.1	10.254.128.130	54.256	1.000	0.796	1.256	
10.254.0.1	10.254.134.34	53.579	1.000	0.796	1.256	
10.254.0.1	10.254.0.10	58.266	1.000	1.000	1.000	
10.254.0.1	10.254.131.130	49.962	0.894	0.796	1.404	
10.254.0.1	10.254.131.162	56.705	1.000	0.796	1.256	
10.254.0.1	10.254.131.66	53.973	1.000	0.796	1.256	
10.254.0.1	10.254.135.162	59.227	1.000	0.796	1.256	
10.254.0.1	10.254.128.65	96.609	1.000	0.796	1.256	
10.254.0.1	10.254.134.2	57.512	1.000	0.796	1.256	
10.254.0.1	10.254.131.194	57.969	1.000	1.000	1.000	
10.254.0.1	10.254.129.226	55.250	1.000	1.000	1.000	
10.254.0.1	10.254.136.98	54.988	1.000	1.000	1.000	
10.254.0.1	10.254.133.34	54.686	1.000	1.000	1.000	
10.254.0.1	10.254.131.2	55.616	1.000	1.000	1.000	
10.254.0.1	10.254.132.194	54.092	1.000	1.000	1.000	
10.254.0.1	10.254.135.34	56.665	1.000	0.952	1.049	
10.254.0.1	10.254.128.226	57.685	1.000	1.000	1.000	
10.254.0.1	10.254.135.226	55.198	1.000	0.796	1.256	
10.254.0.1	10.254.135.194	56.691	1.000	0.796	1.256	
10.254.0.1	10.254.133.129	57.903	0.960	0.796	1.307	
10.254.0.1	10.254.132.66	56.582	1.000	1.000	1.000	
10.254.0.1	10.254.130.162	56.796	1.000	1.000	1.000	

